title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
Administrateur ou Administratrice systèmes et bases de données,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Administration systèmes et bases de données', 'Oracle', 'PostGre SQL', ""Sécurité des systèmes d'information"", 'Sauvegarde (Veeam)', 'Documentation CMDB (ITOP)', 'Travail en équipe', 'Gestion des astreintes']",2025-11-25
Directeur.trice adjoint.e des Systèmes d'Information,Conseil départemental de Meurthe et Moselle,"48 esplanade Jacques Baudot, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"[""Management d'équipes opérationnelles"", 'Gouvernance IT', 'Pilotage de projets SI', 'Urbanisation et architecture SI', 'Conduite du changement', 'Méthodologies ITIL et Agile', ""RGPD et sécurité des systèmes d'information"", 'Business Intelligence et Data', 'Vulgarisation et pédagogie']",2025-12-09
Chargé de mission statistiques et suivi des projets SI (h/f),Conseil départemental de la Manche,"Maison du Département, Saint-Lô (Manche (50))",Emploi permanent - vacance d'emploi,,,,False,"['Gestion de projet', 'Analyse de données', 'Maîtrise des outils statistiques (BusinessObject, Qliksense, Excel avancé)', 'Méthodologie de projet', 'Animation de groupes de travail', ""Connaissance du champ de l'autonomie (MDPH, APA)"", 'Accompagnement au changement']",2025-12-15
Technicien études méthodes de production (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),"Noisy-le-Grand, Seine-Saint-Denis (93)",CDD,partiel,,,False,"[""Connaissances techniques du domaine de l'assainissement et de la valorisation des boues"", 'Génie des procédés', 'Gestion de projet', 'Informatique bureautique', 'Management QSE', 'Utilisation de la GMAO', ""Expérience terrain dans le traitement de l'eau""]",2026-01-02
Chargé(e) de mission du service public départemental de l’autonomie,Conseil départemental de Guadeloupe,"Basse-Terre, Jarry, Baie-Mahault (Guadeloupe)",Emploi permanent - création d'emploi (ouvert aux contractuels),,,,False,"['Environnement territorial et réseaux stratégiques', ""Méthodes d'ingénierie de projets et planification"", ""Techniques d'évaluation et benchmarking"", ""Animation de réunions et pilotage d'équipe"", 'Communication écrite et orale', 'Gestion administrative et budgétaire', 'Analyse de données et synthèse', ""Conduite de projets et retour d'expérience""]",2025-12-23
Chargé d'études : Data Analyst (h/f),Syndicat des eaux d'Ile-de-France (SEDIF),"79, boulevard Saint-Germain, Paris",CDD (3 ans renouvelable),partiel,,,False,"['Power BI / QlikView', 'ArcGIS / QGIS', 'FME', 'SQL', 'Python', 'PostgreSQL', 'Géomatique / Data Management', 'Data Visualisation']",2025-12-30
DATA ANALYSTE,COLLECTIVITÉ TERRITORIALE DE MARTINIQUE,"RUE GASTON DEFFERRE, Fort-de-France, Martinique (972)",Emploi permanent - vacance d'emploi,,,,False,"[""Maîtrise des techniques statistiques et méthodes d'analyse quantitative et qualitative"", ""Maîtrise des logiciels de traitement et d'analyse de données"", 'Maîtrise des outils bureautiques et collaboratifs', 'Connaissances du RGPD', 'Connaissances du fonctionnement des Collectivités territoriales', 'Travail en transversalité', 'Conception et organisation de bases de données', ""Rédaction d'avis et rapports d'aide à la décision"", ""Réalisation d'études techniques et économiques"", 'Rigueur', ""Sens de l'organisation et de l'initiative"", ""Sens d'analyse"", 'Esprit de synthèse']",2025-12-15
ANALYSTE DES DONNEES,Communauté d'Agglomération Melun Val de Seine,"297 rue Rousseau Vaudran, Dammarie-les-Lys (Seine-et-Marne (77))",Emploi permanent - création d'emploi,partiel,,,False,"['SQL', 'OpenData', 'SIG (Mapinfo, GEO, QGIS, pgAdmin)', 'Data visualisation (PowerBI, Opendatasoft)', 'Analyse statistique et spatiale', 'Bureautique (Excel, Access)', 'Gestion de bases de données', 'HTML/CSS/PHP (notions)', 'Géomatique']",2025-11-13
Analyste de données (H/F),Service Départemental d'Incendie et de Secours de Val-d'Oise (SDIS 95),"33 Rue des Moulines, Neuville-sur-Oise (Val-d'Oise (95))",CDD 36 mois renouvelable,partiel,Selon grilles indiciaires du grade et régime indemnitaire du poste,,False,"['Maîtrise des outils de visualisation de données (Power BI, BO)', 'Excel avancé', 'Langage SQL', 'Analyse et synthèse', 'Rigueur et organisation', 'Qualités rédactionnelles et relationnelles', 'Vulgarisation des résultats']",2025-12-17
Rédacteur ou technicien en charge du déploiement de l'intelligence artificielle,Communauté de communes de Montesquieu,"1 allée Jean Rostand, Martillac (Gironde (33))",Emploi permanent - création d'emploi,,rémunération statutaire et avantages sociaux,,False,"['Maîtrise du fonctionnement et de l’organisation des collectivités territoriales', 'Connaissance des enjeux de l’IA', 'Maîtrise du cadre juridique', 'Conduite de projets', 'Travail en transversalité et en mode projet', 'Vulgarisation des concepts techniques', 'Accompagnement au changement']",2025-12-26
CONTRÔLEUR DE GESTION - ANALYSTE DE DONNÉES (F/H),Communauté Urbaine Caen La Mer,"16 rue Rosa Parks - CS 52700, Caen (Calvados (14))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Contrôle de gestion', 'Analyse financière', 'Data visualisation (Power BI)', 'Comptabilité publique et privée', 'Comptabilité analytique', 'Gestion des bases de données', 'Pilotage de la performance', 'Analyse des coûts', 'Connaissance des collectivités territoriales']",2025-12-22
Chargé de mission data et administrateur applicatif,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Big Data', 'Outils d’analyse (Excel, BI, SAS, Python, Tableau/PowerBI, DigDash)', 'Gestion de projets', 'Méthodologie Agile', 'RGPD', 'Conduite du changement', 'Veille technologique', 'Analyse de données', 'Reporting']",2026-01-06
"Référente en charge de la Gouvernance des Données, de la Mutualisation et du Développement Coopératif",COMMUNAUTE DE COMMUNES DU CANTON D'ERSTEIN,"1 rue des 11 communes - BP 50057, Benfeld (Bas-Rhin (67))",Emploi permanent - création d'emploi,non,,,True,"['Gouvernance des données', 'RGPD', 'Protection des données personnelles', 'Mutualisation de services', 'Veille réglementaire', 'Coordination de projets', 'Rédaction de rapports', 'Gestion administrative']",2025-12-31
Administrateur de bases de données et système décisionnel,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),CDD,partiel,,2.0,False,"['Maîtrise des SGBD (Oracle, SQL Server, PostgreSQL, etc.)', 'Langage SQL', 'Environnement Linux', 'Langages de script (Python)', 'Outils ETL/BI (Business Objects, BODS)', 'Gestion de projet (Agile, cycle en V)']",2025-12-19
Chef de projet IA et DATA (F/H),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets complexes', 'Maîtrise des fondamentaux de la data (modélisation, qualité, gouvernance, sécurité)', 'Maîtrise des architectures Data & Analytics', 'Maîtrise des concepts IA/ML (cas d’usage, modèles, Machine Learning)', 'Conformité réglementaire (RGPD, HDS)', 'Maîtrise des outils DELIBIA, COPILOT, PRISME AI', 'Excellente communication et leadership transversal']",2025-12-19
Data Manager,SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS,"95 AV HENRI JAUBERT, Digne-les-Bains (Alpes-de-Hte-Provence (04))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"['Maîtrise des outils de gestion de bases de données (SQL, PostgreSQL, Oracle, etc.)', 'Connaissances des outils d’intégration (ETL, API, connecteurs, webservices)', 'Pratique des outils de datavisualisation (Power BI, Tableau, Data Studio ou équivalents)', 'Langages d’analyse (Python)', 'Cybersécurité et protection des données', 'Extraction et exploitation de données', 'Création de rapports']",2025-12-16
CHEF DE PROJET DONNÉES (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,5.0,True,"['Pilotage de projets SI', 'Gouvernance des données', 'Architecture de gestion de la donnée', 'Modélisation et analyse de données', 'Communication avec différents publics', 'Rédaction de cahiers des charges et rapports', 'Veille métiers et technologies', 'Gestion de plateforme de données (Microsoft Fabric)']",2025-12-08
Administrateur Data et CRM,ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,"34 Quai François MITTERRAND, Paris",Emploi permanent - vacance d'emploi,partiel,,,False,"['Gestion et gouvernance de base de données', 'Systèmes de gestion de bases de données clients', 'Outils de CRM', 'Plateformes marketing', 'Analyse d’audience et de navigation', 'Excel (fonctions expertes)', 'RGPD']",2025-12-15
Technicien du service DATA et SIG,COMMUNAUTE DE COMMUNES DE LA VALLÉE DORÉE,"1 RUE DE NOGENT, Laigneville (Oise (60))",Emploi permanent - vacance d'emploi,,,,False,"[""Connaissance approfondie des Systèmes d'Information Géographique (SIG)"", 'Gestion de bases de données géographiques', 'Collecte, analyse et exploitation de données', ""Maîtrise de l'outil informatique"", ""Utilisation d'appareils de mesure topographique"", 'Traduction des questions en requêtes informatiques', 'Sensibilité aux questions environnementales']",2025-12-13
Chef(fe) du service valorisation de la donnée,SDIS des Yvelines,"56 avenue de Saint Cloud, Versailles (Yvelines (78))",Emploi permanent - vacance d'emploi,,Statutaire + régime indemnitaire (IFSE) + prime annuelle (CIA),5.0,True,"['Maîtrise des outils bureautiques (tableur, base de données)', 'Logiciels de data-visualisation et requêtes (Qlik View, Qlik Sense, Business Object)', 'Analyse, synthèse et restitution de l’information', 'Contrôle de gestion', ""Fonctionnement d'un SDIS"", ""Encadrement d'équipe"", 'Gestion de projets décisionnels']",2025-12-22
Gestionnaire de données et bilans (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Maisons-Laffitte (Yvelines (78)),Emploi permanent - vacance d'emploi / Contractuel (dérogatoire),partiel,,,False,"[""Connaissances des procédés de traitement de l'eau"", 'Sens de la rigueur', 'Sens du contact', ""Esprit d'initiative et d'analyse"", ""Maîtrise de l'outil informatique (bureautique et système de supervision)""]",2025-11-07
Chargé d’analyse de données et de reporting,SYTRAL MOBILITES,"21 BOULEVARD VIVIER MERLE, Lyon (Rhône (69))",Emploi permanent - création d'emploi,,,5.0,False,"['Analyse de données', 'Reporting', 'Gestion de projets complexes', 'Connaissance des outils SI (billettique, comptage, SAE)', 'Maîtrise des outils informatiques (Excel, PowerPoint, etc.)', 'Négociation', 'Rédaction de procédures et documents', 'Veille technologique']",2025-12-29
Chargé(e) du contrôle et de la gestion des données,Syndicat mixte collecte déchets (Syndicat du Bois de l'Aumône),Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Maîtrise des outils bureautiques (Pack Office, Internet)', 'Gestion de bases de données (Oracle, Access)', 'Outils de reporting (Business Objects, Crystal Report)', 'Outils de traitement géographique (ArcGIS, QGIS)', ""Administration de systèmes d'information"", 'Méthodes et normes ITIL', 'Connaissance des réglementations informatiques et CNIL', 'Capacité à former des utilisateurs', 'Esprit de synthèse et rédactionnel', ""Connaissance du domaine de l'environnement""]",2025-12-24
UN ANALYSTE D’EXPLOITATION INFORMATIQUE (H/F),Conseil départemental du Vaucluse,"13 Route de Lyon, Avignon (Vaucluse (84))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['exploitation avancée des environnements serveurs Windows et Linux', 'bonnes pratiques d’exploitation de serveurs virtualisés (VMware)', 'maîtrise d’Active Directory', 'ordonnanceur (ex. Visual TOM)', 'sauvegarde (ex. Commvault)', 'supervision (ex. EV Observe)', 'langages de scripting (Shell, PowerShell)', 'serveurs d’applications, web et conteneurisation (Apache/Tomcat, NGINX, Docker, IIS)', 'bases de données (Oracle, MySQL, MariaDB, PostgreSQL, SQL Server)', 'méthodologies ITIL', 'normes de sécurité et bonnes pratiques d’exploitation']",2025-12-22
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi,,,,False,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-05
Analyste développeur (h/f),Conseil départemental de la marne,"2 bis rue de jessaint - CS 30454, Châlons-en-Champagne (Marne (51))",Emploi permanent - vacance d'emploi,partiel,,,False,"['PHP/Symfony', 'API', 'Bases de données', 'Outils web', 'Documentation et qualité logicielle', 'Méthodologie et rigueur', 'Travail en équipe']",2026-01-05
JURISTE PROTECTION DES DONNÉES / TECHNOLOGIE DE L'INFORMATION / PROPRIÉTÉ INTELLECTUELLE (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,2.0,False,"['Droit du numérique', 'RGPD et protection des données', ""Droit des technologies de l'information"", 'Propriété intellectuelle', 'Cybersécurité', 'Gestion des risques', 'Rédaction de contrats', 'Veille réglementaire']",2025-12-09
"CHEF DU SERVICE CONTRATS, PROCESS & DATA (F/H)",SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, France",Emploi permanent - création d'emploi,partiel,"Rémunération statutaire, RIFSEEP (IFSE et CIA), prime de fin d'année",10.0,True,"['Gestion de contrats complexes (DSP, PPP)', ""Pilotage d'équipe"", 'Contrôle de gestion', 'Transports publics', 'Processus et outils SI métier', 'Travail en transversalité et en mode projet', 'Connaissance des collectivités territoriales']",2025-12-08
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi (contractuel possible à titre dérogatoire),non,,,True,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-01
Responsable de l’ingénierie fonctionnelle de la donnée,Valence Romans Agglo,"Espace Jacques Brel, 1, Place Jacques Brel, Valence (Drôme (26))",Emploi permanent - création d'emploi,,,,True,"['Gestion et structuration de données', 'Gouvernance des données', 'Analyse de données', 'Outils OpenSource (Kestra, Ducklake, OpenMetaData, Superset, Qlik Sense)', 'ETL/ELT', 'Datavisualisation', 'Formation et sensibilisation des utilisateurs', 'Culture de la donnée']",2025-12-12
Délégué à la Protection des Données (H/F),LE DEPARTEMENT DU TARN,"35 Lices Georges Pompidou, Albi (Tarn (81))",Emploi permanent - vacance d'emploi,,,,True,"['Pilotage de projets stratégiques', 'Expertise juridique (RGPD, veille réglementaire)', ""Culture et maîtrise des systèmes d'information"", 'Qualités rédactionnelles', 'Organisation et procédures', 'Animation de réunions collaboratives', 'Développement de réseaux partenariaux', 'Rigueur, autonomie et réactivité', 'Coopération interservices', 'Aisance relationnelle']",2025-12-04
Chef de Projet Système d'Information Décisionnel (h/f),CONSEIL DEPARTEMENTAL DE L'ARDECHE,"La Chaumette BP 737, Privas (Ardèche (07))",Emploi permanent - vacance d'emploi,,,,True,"[""Expertise des techniques, normes, référentiels et outils liés à un système d'information décisionnel"", ""Maîtrise des outils de stockage (Data Warehouse), d'extraction (ETL) et de datavisualisation (DigDash, Power BI, BO, ...)"", 'Connaissance du langage SQL, des formats XML, JSON et des API Rest', 'Expérience en bases de données (PostgreSQL, Oracle, SQL Server)', ""Connaissance d'un langage de programmation (Python)"", 'Pilotage de projets stratégiques', 'Analyse des besoins métiers et fonctionnels', 'Accompagnement du changement']",2025-12-11
Ingénieur Bases de données,Service Départemental d'Incendie et de Secours de l'Hérault (SDIS 34),Vailhauquès (Hérault (34)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),,Traitement de base + astreintes + primes + avantages sociaux,,False,"['Diplôme niveau ingénieur informatique ou équivalent', 'Expérience en gestion des bases de données', 'Connaissance et maîtrise des ETL', 'Connaissances des environnements O365 (PowerApps), Oracle, MySQL', 'Autonomie et grande disponibilité', 'Qualités relationnelles', 'Connaissance du milieu sapeur-pompier (appréciée)']",2026-01-05
Chargé ou chargée de projets systèmes d'information solidarités,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTIQUE,"8 rue Sully NANTES, Loire-Atlantique (44)",CDD,partiel,,,False,"['Culture informatique', 'Outils bureautiques', 'Business Objects', 'Conduite de projets', 'Travail en équipe', 'Animation de groupes de travail', 'Veille réglementaire et fonctionnelle']",2026-01-05
Chef de projet pilotage et valorisation des données (F/H),Métropole du Grand Nancy,"22/24 Viaduc Kennedy, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Gestion des données', 'Contrôle de gestion', 'Pilotage de projets transverses', 'Analyse des risques', ""Développement d'outils et interfaces"", 'Évaluation des politiques publiques', 'Automatisation des processus budgétaires']",2025-12-08
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', ""Connaissance des workflows, droits d'accès, référentiels"", 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de mission gouvernance et analyse des données (h/f),AGENCE NATIONALE DE L'HABITAT,"8 Avenue de l'Opéra, Paris",Emploi permanent - vacance d'emploi,,,,False,"['manipulation/traitement de données', ""maîtrise des principaux outils d'analyse"", 'connaissance du secteur du logement', ""capacité d'adaptation"", 'autonomie']",2025-12-15
Gestionnaire bases de données et documentation patrimoniale H/F,Conseil départemental des Yvelines,"2 Avenue de Lunca, Montigny-le-Bretonneux (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Gestion informatisée et manuelle d'un fonds et d'une base documentaire"", 'Administration des bases de données (Filemaker/Arkothèque, Syrtis)', 'Catalogage et classement (bibliothéconomie)', 'Recherche documentaire et veille thématique', 'Connaissance du droit de la propriété intellectuelle et du patrimoine', 'Maîtrise des outils bureautiques et PAO', 'Techniques de conservation des documents']",2025-12-09
Administrateur de bases de données (h/f),Mairie de Boulogne-Billancourt,Boulogne-Billancourt (Hauts-de-Seine (92)),Emploi permanent - création d'emploi,,,2.0,False,"['Administration SGBD (Oracle, SQL Server, MySQL, PostgreSQL)', 'Administration systèmes Windows et Linux', 'Tomcat et PHP', 'Haute disponibilité, réplication, clustering', 'Sauvegarde et restauration des bases de données', ""Résolution d'incidents"", 'Travail en équipe et communication']",2025-12-03
Administrateur ou Administratrice systèmes et bases de données,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi (contrat dérogatoire possible),,,,False,"['Administration systèmes et bases de données', 'Gestion des bases de données Oracle et PostgreSQL', ""Sécurité des systèmes d'information"", 'Sauvegarde (Veeam)', 'Documentation CMDB (ITOP)', 'Travail en équipe', 'Astreintes']",2025-11-25
Directeur.trice adjoint.e des Systèmes d'Information,Conseil départemental de Meurthe et Moselle,"48 esplanade Jacques Baudot, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"[""Management d'équipes opérationnelles"", 'Gouvernance IT', 'Pilotage de projets SI', 'Conduite du changement', ""Urbanisation des systèmes d'information"", 'Normes et réglementations IT (RGPD, sécurité)', 'Méthodologies ITIL et Agile', 'Business Intelligence et Data', ""Développement d'applications""]",2025-12-09
Chargé de mission statistiques et suivi des projets SI (h/f),Conseil départemental de la manche,"Maison du Département, Saint-Lô (Manche (50))",Emploi permanent - vacance d'emploi,,,,False,"['Gestion de projet et amélioration continue', 'Analyse de données', 'Maîtrise des outils informatiques (suite Microsoft, Excel avancé, BusinessObject, Qliksense)', ""Connaissance des métiers de l'autonomie (MDPH, APA)"", 'Méthodologie de projet et animation de groupes de travail', 'Capacité à animer des équipes transversales', 'Qualités rédactionnelles et de synthèse']",2025-12-15
Technicien études méthodes de production (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),"Noisy-le-Grand, Seine-Saint-Denis (93)",CDD,partiel,,,False,"[""Connaissances techniques du domaine de l'assainissement et de la valorisation des boues"", 'Connaissances en génie des procédés', 'Gestion de projet', 'Informatique bureautique', 'Management QSE', 'Utilisation de la GMAO', ""Expérience terrain dans le traitement de l'eau""]",2026-01-02
Chargé(e) de mission du service public départemental de l’autonomie,Conseil départemental de Guadeloupe,"Basse-Terre, Guadeloupe (971) / Jarry, Baie-Mahault, Guadeloupe (971)",Emploi permanent - création d'emploi (ouvert aux contractuels pour une durée maximale de 2 ans),,,,False,"['Environnement territorial et réseaux stratégiques', ""Méthodes d'ingénierie de projets et planification"", ""Techniques d'évaluation et d'analyse de données"", ""Animation de réunions et pilotage d'équipe"", 'Communication écrite et orale', 'Gestion administrative et budgétaire', ""Conception d'indicateurs et bases de données"", 'Rédaction de cahiers des charges', 'Prospective et scénarii stratégiques']",2025-12-23
Chargé d'études (h/f),Fontenay-sous-Bois,"Fontenay-sous-Bois (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Techniques budgétaires et comptables publiques', 'Recueil et traitement de données', 'Calcul des coûts et comptabilité analytique', 'Analyse et évaluation des politiques publiques', 'Logiciels bureautiques (Excel, Word)', 'Logiciels métier (Ciril Finances)', 'Travail en équipe', 'Capacités rédactionnelles']",2025-12-12
Chargé du contrôle de gestion sociale et des audits organisationnels (H/F),Commune de Colmar,"1 place de la mairie - bp 50528, Colmar (Haut-Rhin (68))",Emploi permanent - vacance d'emploi (ou contractuel dérogatoire),non,Rémunération statutaire sur la grille indiciaire des attachés territoriaux + régime indemnitaire,,False,"[""Maîtrise des outils de contrôle de gestion et d'analyse des données RH"", 'Connaissances approfondies du statut de la fonction publique territoriale et des règles des finances locales', ""Maîtrise des méthodes d'audit et des techniques statistiques"", 'Capacité à concevoir des tableaux de bord et à produire des analyses stratégiques', ""Maîtrise avancée d'Excel et des logiciels SIRH"", 'Expérience en contrôle de gestion RH, GPEEC, audit organisationnel ou suivi de la masse salariale']",2025-12-24
Chargé d'études en urbanisme prévisionnel et opérationnel (h/f),Commune de Cannes,"Hôtel de Ville - Mairie de Cannes, Alpes-Maritimes (06)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),,,,False,"['Urbanisme', 'Aménagement du territoire', 'Géographie', 'Maîtrise des documents de planification (PLU, SCOT, SRADDET)', 'Conduite de projets urbains', 'Logiciels SIG (ArcGIS)', 'Outils bureautiques (Suite Office)', 'Analyse de données complexes', 'Rédaction de notes de synthèse et rapports']",2025-12-15
"Chargé de mission auprès de la DGA ressources financières, juridiques, numérique et commandes publiques (h/f)",Ville de Créteil,"Créteil (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels pour une durée maximale de 2 ans),partiel,"Rémunération statutaire, RIFSEEP, primes semestrielles",,False,"['Pilotage et suivi de dossiers', 'Gestion de projets', 'Analyse et évaluation', 'Maîtrise des risques et contrôle interne', 'Coordination de projets SI', 'Rédaction de cahiers des charges', 'Tableaux de bord et indicateurs']",2025-12-19
CHEF DE PROJET TRANSFORMATION ET INNOVATION H/F,CONSEIL DEPARTEMENTAL DE HAUTE-SAVOIE,Annecy (Haute-Savoie (74)),Emploi permanent - vacance d'emploi,partiel,,5.0,True,"['Gestion de projet complexe', 'Transformation numérique', 'Méthodologies cycle en V et Agiles', 'IA générative, RPA, automatisation low-code/no-code', 'Travail en transversalité et accompagnement au changement', 'Innovation et veille technologique']",2025-12-29
Chargé d'études programmiste (H/F),Conseil départemental des Yvelines,"Hôtel du Département, Guyancourt (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Conception et pilotage d'études de programmation pour des opérations de réhabilitation, restructuration ou réaménagement"", 'Connaissances des marchés publics', 'Réalisation et exploitation de diagnostics techniques préalables', 'Traduction des besoins métiers en programmes technico-fonctionnels', 'Mise à jour et évolution des référentiels fonctionnels et environnementaux', 'Travail en équipe pluridisciplinaire', 'Maîtrise des règles de construction des bâtiments TCE, règlementation incendie et PMR', ""Intégration d'innovations et approches durables (écoconstruction, matériaux biosourcés)""]",2025-12-30
Chargé des finances et études RH (h/f),L'Haÿ-les-Roses,"Mairie, 41 rue Jean Jaurès, L'Haÿ-les-Roses (Val-de-Marne (94))",Emploi permanent - vacance d'emploi / contractuel (max 2 ans),partiel,,,False,"['Gestion financière et budgétaire', 'Analyse de données RH', 'Utilisation des logiciels SEDIT RH, ASTRE finances, GECCO, Adelyce, Suite Office', 'Connaissances en RH et finances', ""Élaboration d'études RH (RSU, REHF, enquêtes)"", 'Contrôle de gestion']",2025-12-05
ADMINISTRATEUR SIRH - CHARGÉ DES ÉVOLUTIONS H/F,Conseil départemental de la Moselle,"Place J-M RAUSCH, Metz (Moselle (57))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Administration fonctionnelle du SIRH', 'Gestion de la paie', 'Veille réglementaire et mise à jour des logiciels', 'Analyse et contrôle des données', 'Rédaction de documentations et procédures', 'Maîtrise des outils bureautiques (Word, Excel)', ""Connaissance des outils d'analyse de données (BI)"", 'Travail en équipe', 'Autonomie et rigueur', ""Gestion de l'urgence""]",2025-12-16
Cartographe,Mairie SAINT-GERMAIN-EN-LAYE,"86 rue Léon Désoyer, Saint-Germain-en-Laye (Yvelines (78))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise des outils SIG (QGIS, ArcGIS, MapInfo, etc.)', 'Connaissance des référentiels géographiques (IGN, BD TOPO, cadastre, PLU, etc.)', 'Rigueur, autonomie et sens du service public', 'Aptitude au travail en équipe et à la communication interservices']",2025-12-15
Chargé(e) de missions inondations / PAPI,Syndicat Mixte d'Aménagement et de Restauration des bassins du Loir et de l'Eure amont en Eure-et-Loir (SMAR Loir & Eure 28),"3 bis rue Saint-Michel, Bonneval, Eure-et-Loir (28)",Emploi permanent - création d'emploi,non,,2.0,False,"['Hydraulique fluviale', 'Métrologie', 'Gestion du risque et gestion de crise', 'Politiques publiques', 'Marchés publics', 'Réglementation liée aux ouvrages hydrauliques', ""Loi sur l'eau""]",2025-12-24
Chargée d'études chaussée F/H,Conseil Départemental de Seine et Marne,Melun (Seine-et-Marne (77)),Emploi permanent - vacance d'emploi,partiel,,,False,"['Maîtrise du logiciel ALIZE', 'Expertise en techniques routières', 'Travail en équipe', 'Veille réglementaire', 'Gestion de projet']",2025-12-23
